track_id, year, month, day, hour, i, j, lon, lat, slp, wind10
3, 1980, 8, 6, 18, 27, 72, 279.140625, 19.298207, 9.815700e+04, 2.940612e+01
3, 1980, 8, 7, 0, 26, 71, 278.437500, 19.999960, 9.736100e+04, 3.354072e+01
3, 1980, 8, 7, 6, 23, 70, 276.328125, 20.701713, 9.712700e+04, 3.927455e+01
3, 1980, 8, 7, 12, 21, 70, 274.921875, 20.701713, 9.620100e+04, 3.845127e+01
3, 1980, 8, 7, 18, 19, 68, 273.515625, 22.105219, 9.567200e+04, 4.298116e+01
3, 1980, 8, 8, 0, 16, 67, 271.406250, 22.806972, 9.570800e+04, 4.351471e+01
3, 1980, 8, 8, 6, 15, 67, 270.703125, 22.806972, 9.566800e+04, 4.128159e+01
3, 1980, 8, 8, 12, 13, 66, 269.296875, 23.508725, 9.713500e+04, 3.706211e+01
3, 1980, 8, 8, 18, 11, 65, 267.890625, 24.210477, 9.754100e+04, 3.750693e+01
3, 1980, 8, 9, 0, 9, 65, 266.484375, 24.210477, 9.671300e+04, 3.785287e+01
3, 1980, 8, 9, 6, 8, 64, 265.781250, 24.912230, 9.568800e+04, 4.393233e+01
3, 1980, 8, 9, 12, 6, 64, 264.375000, 24.912230, 9.567600e+04, 3.992844e+01
3, 1980, 8, 9, 18, 6, 63, 264.375000, 25.613983, 9.514100e+04, 4.050000e+01
3, 1980, 8, 10, 0, 5, 63, 263.671875, 25.613983, 9.553600e+04, 3.806862e+01
3, 1980, 8, 10, 6, 4, 62, 262.968750, 26.315736, 9.690900e+04, 3.469784e+01
3, 1980, 8, 10, 12, 3, 62, 262.265625, 26.315736, 9.802100e+04, 2.903188e+01
3, 1980, 8, 10, 18, 1, 60, 260.859375, 27.719241, 9.911000e+04, 1.916273e+01
3, 1980, 8, 11, 0, 0, 60, 260.156250, 27.719241, 9.968200e+04, 1.346477e+01
3, 1980, 8, 11, 6, 0, 59, 260.156250, 28.420994, 1.002560e+05, 1.042929e+01
4, 1980, 8, 15, 12, 87, 74, 321.328125, 17.894702, 1.010120e+05, 1.193650e+01
4, 1980, 8, 15, 18, 87, 72, 321.328125, 19.298207, 1.007890e+05, 1.320038e+01
4, 1980, 8, 16, 0, 87, 71, 321.328125, 19.999960, 1.005080e+05, 1.780449e+01
4, 1980, 8, 16, 6, 86, 67, 320.625000, 22.806972, 9.997200e+04, 2.002324e+01
4, 1980, 8, 16, 12, 86, 64, 320.625000, 24.912230, 9.929600e+04, 2.911099e+01
4, 1980, 8, 16, 18, 85, 61, 319.921875, 27.017488, 9.924700e+04, 2.951491e+01
4, 1980, 8, 17, 0, 84, 61, 319.218750, 27.017488, 9.953200e+04, 2.449510e+01
4, 1980, 8, 17, 6, 83, 59, 318.515625, 28.420994, 9.941300e+04, 2.557381e+01
4, 1980, 8, 17, 12, 84, 57, 319.218750, 29.824499, 9.975200e+04, 2.585208e+01
4, 1980, 8, 17, 18, 84, 56, 319.218750, 30.526252, 9.922300e+04, 2.992942e+01
4, 1980, 8, 18, 0, 85, 54, 319.921875, 31.929757, 9.947500e+04, 2.976071e+01
4, 1980, 8, 18, 6, 85, 54, 319.921875, 31.929757, 9.916300e+04, 2.577925e+01
4, 1980, 8, 18, 12, 84, 52, 319.218750, 33.333262, 9.921200e+04, 2.782265e+01
4, 1980, 8, 18, 18, 85, 49, 319.921875, 35.438519, 9.892400e+04, 3.066529e+01
4, 1980, 8, 19, 0, 85, 47, 319.921875, 36.842024, 9.940400e+04, 2.651886e+01
4, 1980, 8, 19, 6, 85, 43, 319.921875, 39.649033, 9.990700e+04, 2.354103e+01
4, 1980, 8, 19, 12, 85, 37, 319.921875, 43.859545, 9.983500e+04, 2.067849e+01
4, 1980, 8, 19, 18, 88, 32, 322.031250, 47.368303, 1.000480e+05, 2.087223e+01
5, 1980, 9, 5, 6, 101, 74, 331.171875, 17.894702, 1.009940e+05, 1.159655e+01
5, 1980, 9, 6, 0, 96, 72, 327.656250, 19.298207, 1.006950e+05, 2.021410e+01
5, 1980, 9, 6, 6, 94, 71, 326.250000, 19.999960, 1.003220e+05, 2.236604e+01
5, 1980, 9, 6, 12, 91, 71, 324.140625, 19.999960, 1.001910e+05, 2.687824e+01
5, 1980, 9, 7, 6, 86, 67, 320.625000, 22.806972, 9.995100e+04, 2.258539e+01
5, 1980, 9, 7, 12, 85, 64, 319.921875, 24.912230, 1.000330e+05, 2.421425e+01
5, 1980, 9, 7, 18, 85, 62, 319.921875, 26.315736, 9.973700e+04, 2.609464e+01
5, 1980, 9, 8, 0, 84, 60, 319.218750, 27.719241, 9.989400e+04, 2.527647e+01
5, 1980, 9, 8, 6, 83, 57, 318.515625, 29.824499, 9.970200e+04, 2.430329e+01
5, 1980, 9, 8, 12, 82, 54, 317.812500, 31.929757, 9.966200e+04, 2.949203e+01
5, 1980, 9, 9, 0, 80, 50, 316.406250, 34.736767, 9.997300e+04, 2.409191e+01
5, 1980, 9, 9, 6, 79, 49, 315.703125, 35.438519, 1.000390e+05, 2.392865e+01
5, 1980, 9, 9, 12, 80, 46, 316.406250, 37.543776, 1.004220e+05, 2.409585e+01
5, 1980, 9, 9, 18, 81, 42, 317.109375, 40.350785, 1.000670e+05, 2.451000e+01
